,title,artist,lyrics
0,Señorita,"Shawn Mendes, Camila Cabello","[Chorus: Camila Cabello]
I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you keep me coming for ya

[Verse 1: Shawn Mendes]
Land in Miami
The air was hot from summer rain
Sweat drippin' off me
Before I even knew her name, la-la-la
It felt like ooh-la-la-la, yeah, no
Sapphire moonlight
We danced for hours in the sand
Tequila Sunrise
Her body fit right in my hands, la-la-la
It felt like ooh-la-la-la, yeah

[Chorus: Camila Cabello & Shawn Mendes, Camila Cabello]
I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you know I love it when you call me señorita
I wish it wasn't so damn hard to leave ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you keep me coming for ya

[Verse 2: Camila Cabello with Shawn Mendes]
Locked in the hotel
There's just some things that never change
You say we're just friends
But friends don't know the way you taste, la-la-la (La, la, la)
'Cause you know it's been a long time coming
Don't ya let me fall, oh
Ooh, when your lips undress me, hooked on your tongue
Ooh, love, your kiss is deadly, don't stop

[Chorus: Both, Camila Cabello & Shawn Mendes]
I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you know I love it when you call me señorita
I wish it wasn't so damn hard to leave ya (So damn hard to leave ya)
But every touch is ooh-la-la-la
It's true, la-la-la (True la-la)
Ooh, I should be runnin'
Ooh, you keep me coming for ya

[Outro: Both, Shawn Mendes & Camila Cabello]
All along, I've been coming for ya (For you)
And I hope it meant something to you (Oh)
Call my name, I'll be coming for ya (Coming for you)
Coming for ya (Coming for you)
For ya
For ya (Oh, she loves it when I call)
For ya
Ooh, I should be runnin'
Ooh, you keep me coming for ya"
1,Fine China,"Future, Juice WRLD","[Intro: Future & Juice WRLD]
The world on drugs
Ten (Yeah) thousand dollar plates
Thousand dollar plates
Thousand dollar plates, fine china
Shorty like a, uh
Shorty like a
(Wheezy outta here)

[Chorus: Juice WRLD]
Shorty like a thousand dollar plate, fine china
Tell her that she beautiful every day, I remind her
Then I jump in her pussy like a lake, I'm a diver
And her last man was a pussy, had a vagina
I get lost in her eyes, like dust from the skies
It's her body or nobody, I refuse to compromise
So if she leaves, I'ma kill her, oh, she'll die
Did I say that out loud? I'm so crazy about mine

[Verse 1: Juice WRLD]
Goin' insane, feel you pickin' up and movin' things inside my brain
I know I don't have to argue about everything
But we don't have the same soul
Would've sold yours too and got a bigger bankroll
You tell me that you love me, baby, say it again
Repeat it over and over until it's in my brain
Picked up the drugs so I let my brain go
Woulda fried yours too, but I'm selfish about my Percs, oh

[Chorus: Juice WRLD]
Shorty like a thousand dollar plate, fine china
Tell her that she beautiful every day, I remind her
Then I jump in her pussy like a lake, I'm a diver
And her last man was a pussy, had a vagina
I get lost in her eyes, like dust from the skies
It's her body or nobody, I refuse to compromise
So if she leaves, I'ma kill her, oh, she'll die
Did I say that out loud? I'm so crazy about mine

[Verse 2: Future]
I'm so crazy about mine (Wheezy outta here)
I'm goin' to Pluto with my girl (Oh, shorty)
I'm goin' to Jupiter with my girl (Don't call your exes)
I'm goin' to Mars with my girl (Don't call your exes)
I'm goin' to Saturn with my girl
Been feelin' like I'm runnin' out of space
You need to send your location, I can't think
I done fell in love twice but I gotta be lyin'
'Cause I'm livin' ten lives, I go crazy about mines (Ayy)

[Chorus: Juice WRLD]
Shorty like a thousand dollar plate, fine china
Tell her that she beautiful every day, I remind her
Then I jump in her pussy like a lake, I'm a diver
And her last man was a pussy, had a vagina
I get lost in her eyes, like dust from the skies
It's her body or nobody, I refuse to compromise
So if she leaves, I'ma kill her, oh, she'll die
Did I say that out loud? I'm so crazy about mine

[Outro: Juice WRLD]
Did I say that out loud? I'm so crazy about mine"
2,Nagada Sang Dhol,"Shreya Ghoshal, Osman Mir","[Chorus 1]
हे धिन तड़ाक धिन तड़ाक
आजा उड़ के सरात
पैरों से बड़ी ज़रा खोल

[Hook]
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धम धम धांय
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धांय धम धांय

[Chorus 1]
हे धिन तड़ाक धिन तड़ाक
आजा उड़ के सरात
पैरों से बड़ी ज़रा खोल

[Hook]
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धम धम धांय
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धांय धम धांय

[Verse 1]
रे खट खट हाँ खट खट
बाजे दस्तक वो ना अब तक आया
रे तब से हाँ तब से, हाँ देखे राहें
की अब तू खोल बाहें आज

[Chorus 2]
उमड़-घुमड़ घूमें, रे मचले रे मोरा मन
गूंजे रे बालम के बोल

[Hook]
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धम धम धांय
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धांय धम धांय

[Chorus 1]
हे धिन तड़ाक धिन तड़ाक
आजा उड़ के सरात
पैरों से बड़ी ज़रा खोल

[Hook]
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धम धम धांय
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धांय धम धांय

[Bridge]
लीली लेमडी रे
लीलो नगरवेल नो छोड़
प्रभु परोध ना रे
मार घेर उत्तारा करता जाओ
उतारो नहीं करूं रे
मार घेर सीता जुवे वाट
सीता एकला रे जुवे राम-लखमन नि वाट

[Verse 2]
ओ पल-पल रे पल-पल बीतता जल-जल
नाच अब चल आजा
रे थर-थर थर-थर, हाँ काँपे थर-थर
हां डर-डर जी से डर अब ना ना

[Chorus 3]
बागों में बोला, बोला रे बोला
मोरे बदला रे दिल का भूगोल

[Hook]
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धम धम धांय
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धांय धम धांय

[Chorus 1]
हे धिन तड़ाक धिन तड़ाक
आजा उड़ के सरात
पैरों से बड़ी ज़रा खोल

[Hook]
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धम धम धांय
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धांय धम धांय

नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धम धम धांय
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धांय धम धांय

नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धम धम धांय
नगाड़ा संग ढोल बाजे, ढोल बाजे
धांय धांय धांय धम धांय

[Bridge]
लीली लेमडी रे
लीलो नगरवेल नो छोड़
प्रभु परोध ना रे
मार घेर उत्तारा करता जाओ
उतारो नहीं करूं रे
मार घेर सीता जुवे वाट
सीता एकला रे जुवे राम-लखमन नि वाट

[Outro]
हे... हो... ढोल बाजे..."
3,FAKE LOVE (Rocking Vibe Mix),BTS,"[방탄소년단의 Fake Love (Rocking Vibe Mix) 가사]

[Intro: V, Jungkook]
널 위해서라면 난
슬퍼도 기쁜 척 할 수가 있었어
널 위해서라면 난
아파도 강한 척 할 수가 있었어
사랑이 사랑만으로 완벽하길
내 모든 약점들은 다 숨겨지길
이뤄지지 않는 꿈속에서
피울 수 없는 꽃을 키웠어

[Hook: Jimin, Jin]
I'm so sick of this fake love, fake love, fake love
I'm so sorry but it's fake love, fake love, fake love

[Verse 1: RM, RM & Jungkook, J-Hope]
I wanna be a good man just for you
세상을 줬네 just for you
전부 바꿨어 just for you
Now I don't know me, who are you?
우리만의 숲 너는 없었어
내가 왔던 route 잊어버렸어
나도 내가 누구였는지도 잘 모르게 됐어
거울에다 지껄여봐 너는 대체 누구니

[Pre-Chorus: Jimin, Jin]
널 위해서라면 난
슬퍼도 기쁜 척 할 수가 있었어
널 위해서라면 난
아파도 강한 척 할 수가 있었어
사랑이 사랑만으로 완벽하길
내 모든 약점들은 다 숨겨지길
이뤄지지 않는 꿈속에서
피울 수 없는 꽃을 키웠어

[Chorus: Jungkook, V]
Love you so bad, love you so bad
널 위해 예쁜 거짓을 빚어내
Love you so mad, love you so mad
날 지워 너의 인형이 되려 해
Love you so bad, love you so bad
널 위해 예쁜 거짓을 빚어내
Love you so mad, love you so mad
날 지워 너의 인형이 되려 해

[Hook: Jimin, Jin]
I'm so sick of this fake love, fake love, fake love
I'm so sorry but it's fake love, fake love, fake love

[Verse 2: RM, Suga]
Why you sad? I don't know 난 몰라
웃어봐 사랑해 말해봐
나를 봐 나조차도 버린 나
너조차 이해할 수 없는 나
낯설다 하네
니가 좋아하던 나로 변한 내가
아니라 하네
예전에 니가 잘 알고 있던 내가
아니긴 뭐가 아냐 난 눈 멀었어
사랑은 뭐가 사랑 it's all fake love

[Bridge: Jimin, Jin]
(Woo) I don't know, I don't know, I don't know why
(Woo) 나도 날 나도 날 잘 모르겠어
(Woo) I just know, I just know, I just know why
Cuz its all fake love, fake love, fake love

[Chorus: Jungkook, Jimin]
Love you so bad, love you so bad
널 위해 예쁜 거짓을 빚어내
Love you so mad, love you so mad
날 지워 너의 인형이 되려 해
Love you so bad, love you so bad
널 위해 예쁜 거짓을 빚어내
Love you so mad, love you so mad
날 지워 너의 인형이 되려 해

[Hook: Jimin, Jin]
I'm so sick of this fake love, fake love, fake love
I'm so sorry but it's fake love, fake love, fake love

[Outro: Jimin/V, Jungkook/Jin]
널 위해서라면 난
슬퍼도 기쁜 척 할 수가 있었어
널 위해서라면 난
아파도 강한 척 할 수가 있었어
사랑이 사랑만으로 완벽하길
내 모든 약점들은 다 숨겨지길
이뤄지지 않는 꿈속에서
피울 수 없는 꽃을 키웠어"
4,Feelings,Maroon 5,"[Intro]
Woo, woo!
Oh, yeah

[Verse 1]
You and me and all that wine
Loosen my tie, lie down, let's fly
Every guy that passes by (Look at her, look at her, ooh)
And you say that it's not right
But where does he think you are tonight?
Does he know your nasty side? (Look at her, look at her, ooh)

[Pre-Chorus]
If you want me, take me home and let me use you
I know he doesn't satisfy you like I do
And does he know that there's nobody quite like you?
So let me tell you all the things he never told you, yeah

[Chorus]
I've got these feelings for you
And I can't help myself no more
Can't fight these feelings for you
No, I can't help myself no more
Ah-ah, ah-ah, ah-ah

[Verse 2]
You and me, let's go all night
Going so high, we fuck the sky
Come with me now, fuck that guy (Look at her, look at her, ooh)
Now you flash that sexy smile
And tell me I've got to wait a while
And it makes me lose my mind (Look at her, look at her, ooh)

[Pre-Chorus]
If you want me, take me home and let me use you
I know he doesn't satisfy you like I do
And does he know that there's nobody quite like you?
So let me tell you all the things he never told you, yeah

[Chorus]
I've got these feelings for you
And I can't help myself no more
Can't fight these feelings for you (Can't fight these feelings)
No, I can't help myself no more
Ah-ah (Oh), ah-ah (Yeah), ah-ah (Can't help myself no more)
Ah-ah (Oh), ah-ah (Yeah), ah-ah (Oh)

[Bridge]
No, I can't wait much longer, it needs to happen now
'Cause I can't spend the rest of my life chasing you around
I want to get much closer, tou need to tell me how
Baby, how, how? Ooh, because I

[Chorus]
I've got these feelings for you
And I can't help myself no more
Can't fight these feelings for you (Can't fight these feelings for you)
No, I can't help myself no more
I've got these feelings for you
Got these feelings for you
Got these feelings for you
And I can't help myself no more
Can't fight these feelings for you
No, I can't help myself no more

[Outro]
Ah-ah (Yeah, yeah), ah-ah (Yeah), ah-ah
That's fine"
5,Old Town Road - Diplo Remix,"Lil Nas X, Billy Ray Cyrus, Diplo","[Intro: Billy Ray Cyrus]
Oh, oh-oh
Oh

[Refrain: Billy Ray Cyrus]
Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more

[Verse 1: Lil Nas X]
I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match
Ridin' on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off that porch, now

[Chorus: Lil Nas X]
Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

[Drop]

[Chorus: Lil Nas X]
Can't nobody tell me nothin'
You can't tell me nothin'
Can't nobody tell me nothin'
You can't tell me nothin'

[Verse 2: Billy Ray Cyrus]
Hat down, cross town, livin' like a rockstar
Spent a lot of money on my brand new guitar
Baby's got a habit: diamond rings and Fendi sports bras
Ridin' down Rodeo in my Maserati sports car
Got no stress, I've been through all that
I'm like a Marlboro Man so I kick on back
Wish I could roll on back to that old town road
I wanna ride 'til I can't no more

[Refrain: Lil Nas X & Billy Ray Cyrus]
Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more

[Drop]

[Refrain: Lil Nas X & Billy Ray Cyrus]
Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more"
6,Why,Bazzi,"[Verse 1]
I'm still on your Netflix
Girl, I know you love me
Even though your parents
They don't fucking trust me
They probably all right though
I know I'm an asshole
No reply to all your texts, girl, I do you mad cold

[Pre-Chorus]
Like you're just
Dying to drive, but you can't find the keys
Not looking for God, but you're down on your knees
I'm all that you want, but not what you need, girl, why?

[Chorus]
Tell me why do you still love me
Why do you love me?
You know you shouldn't love me
Yeah, you still love me

[Verse 2]
All your friends tell you they hate me
God, I'm fuckin' shady
Couple weeks ago they were inside my sheets naked
Club, so you can Snapchat
Titties out to snap that
I know that you do that shit just hoping for a snap back

[Pre-Chorus]
Like you're just
Dying to drive, but you can't find the keys
Not looking for God, but you're down on your knees
I'm all that you want, but not what you need, girl, why?
(Girl, why?)

[Chorus]
Tell me why do you still love me
Why do you love me?
You know you shouldn't love me
Yeah, you still love me, oh

[Bridge]
Why do you need me when you know you don't need me?
It's tearing you apart
I leave you broken and shaken
And you still call me baby

[Chorus]
Tell me why do you still love me (Why you love me?)
Why do you love me? (Why you love me?)
You know you shouldn't love me (Yeah)
Yeah, you still love me (You still love me)"
7,Without Me,Halsey,"[Verse 1]
Found you when your heart was broke
I filled your cup until it overflowed
Took it so far to keep you close (Keep you close)
I was afraid to leave you on your own

[Pre-Chorus]
I said I'd catch you if you fall (Fall)
And if they laugh, then fuck 'em all (All)
And then I got you off your knees
Put you right back on your feet
Just so you could take advantage of me

[Chorus]
Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinking you could live without me
Thinking you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)
Thinking you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why (I don't know why, yeah, yeah)

[Verse 2]
Gave love 'bout a hundred tries (Hundred tries)
Just running from the demons in your mind
Then I took yours and made 'em mine (Mine)
I didn't notice 'cause my love was blind

[Pre-Chorus]
Said I'd catch you if you fall (Fall)
And if they laugh, then fuck 'em all (All)
And then I got you off your knees
Put you right back on your feet
Just so you could take advantage of me

[Chorus]
Tell me, how's it feel sittin' up there?
Feelin' so high but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinking you could live without me
Thinking you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)
Thinking you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why, yeah

[Bridge]
You don't have to say just what you did (What you did)
I already know (I know)
I had to go and find out from them (Oh-woah)
So tell me, how's it feel? (Oh-woah)

[Chorus]
Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinking you could live without me
Thinking you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)"
8,Vertigo,Khalid,"[Verse 1]
Are we better off believing
What the ignorance suggests?
I wish living life was easy (Mhm)
But mine has been a mess
They say it comes with the seasons (Mhm)
But the seasons come and go (They go)
I go blurry when I'm thinking
Is it me or vertigo?

[Pre-Chorus]
Criticized, who am I to give up?
I’m breathing, what's the reason to let up?
Sympathize, who am I to give up?
Putting on my favorite get up

[Chorus]
Are we alive?
Or are we dreaming?
After the ride
Are you leaving?
Are we alive? (Darker days, brighter endings)
Or are we dreaming? (Darker days, brighter endings)
After the ride
Are you leaving? (Darker days, brighter endings)
Yeah

[Verse 2]
I've been better off than broken
I’ve been battered, I've been beat
I wish I was more outspoken
But the words are out of reach
Hmm, thought I loved you in the moment
I was happy, I was young
I've been learning, I've been growing
But the worst is yet to come

[Pre-Chorus]
Criticized, who am I to give up? (Who am I?)
I'm breathing, what's the reason to let up?
Sympathize, who am I to give up?
Putting on my favorite get up

[Chorus]
Are we alive?
Or are we dreaming?
After the ride
Are you leaving?
Are we alive? (Darker days, brighter endings)
Or are we dreaming? (Darker days, brighter endings)
After the ride
Are you leaving? (Darker days, brighter endings)
Yeah


[Outro]
Eyes closed, eyes closed
I've been falling with my
Eyes low, eyes low
I've been falling with my
Eyes closed, eyes closed
I’ve been falling with my
Eyes low, eyes low
I’ve been falling with my
Eyes closed, eyes closed
I've been falling with my
Eyes low, eyes low
I’ve been falling with my (Vertigo)
Eyes closed, eyes closed (Vertigo)
I've been falling with my (Vertigo)
Eyes low, eyes low
I've been, I've been, I’ve been
Eyes closed, eyes closed
I've been falling with my
Eyes low, eyes low
I've been falling with my
Eyes closed, eyes closed
I've been falling with my
Eyes low, eyes low
I've been falling with my"
9,Noticed,Lil Mosey,"[Intro]
Ughh
Yeah, yeah
Ayy Royce, you did it right here

[Pre-Hook]
I was broke now a young nigga flexed up
In a foreign switchin' lanes you can’t catch up
You was hatin’ but you switched up cause I’m next up
I got lean and some forty in my red cup

[Hook]
Bitches changed and act like I ain’t noticed
Gettin’ money nigga that’s my main focus
Wit .223 and you act like you don’t know this
Bro popped a bean, me and my niggas always rollin'

[Verse 1]
Your hoe tweaking
Me and KK Wok, we always geekin' (Always)
Leakin, yeah my fours leave yo body leaking
I be road runnin' every season (Every season)
And I just count the bands, my neck is freezin'
Me, JD, linked with South End, we was thuggin' (We was thuggin')
Outside totin rachets, holdin' on the work we runnin' (Holdin' on)
Now we counting bands yeah my niggas always thumbin'
And we don’t give a fuck cause my niggas always drummin'
I was watching, steady plottin', pistol totin'
Mixing beans with my lean, that shit had me floating
I was broke now I'm eating, stomach feeling bloated
I been showed you how to flex
Young nigga wrote it (How to flex)

[Pre-Hook]
I was broke now a young nigga flexed up
In a foreign switchin' lanes you can’t catch up
You was hatin’ but you switched up cause I’m next up
I got lean and some forty in my red cup

[Hook]
Bitches changed and act like I ain’t noticed
Gettin’ money nigga that’s my main focus
Wit .223 and you act like you don’t know this
Bro popped a bean man my niggas always rollin'

[Verse 2]
I was just a young nigga waiting (We were waitin')
But now we up, no worries, getting faded
Playin', swear these bitches, they always playing
Saying, I could give a fuck about what you saying
Grew up 50th avenue
Tweakers layed up next to dude
Need a bigger revenue
So I stayed tryna sell to you
Niggas always testing me, so I stay with that .32 (With the 32)
You can’t roll with bros and me, 'cause we gon' blast that .22 (Brrat)
Yeah, you know
I said you know yeah
I turn heads when I, roll through yeah
You know I'm with the, with the crew yeah
Circle small so it’s just 2x2, yeah

[Pre-Hook]
I was broke now a young nigga flexed up
In a foreign switchin' lanes you can’t catch up
You was hatin’ but you switched up cause I’m next up
I got lean and some forty in my red cup

[Hook]
Bitches changed and act like I ain’t noticed
Gettin’ money nigga that’s my main focus
Wit .223 and you act like you don’t know this
Bro popped a bean man my niggas always rollin'"
